HMM_ID	Gene	Pathway	Type
NF038379	PurZ	dZ	Marker
PF00709	PurA	dZ	Marker
PF04447	MazG-like	dZ	Accessory
PF18909	MazG-like-Nt	dZ	Accessory
PF12917	DatZ	dZ	Accessory
PF23859	DpdA	7-dG	Marker
NF041059	DpdA	7-dG	Marker
TIGR00364	QueC	7-dG	Accessory
NF008317	QueC	7-dG	Accessory
PF06508	QueC	7-dG	Accessory
PF01242	QueD	7-dG	Accessory
TIGR03367	QueD	7-dG	Accessory
TIGR03365	QueE	7-dG	Accessory
TIGR04322	QueE	7-dG	Accessory
NF006824	FolE	7-dG	Accessory
PF02649	FolE	7-dG	Accessory
PF14489	QueF	7-dG	Accessory
TIGR03138	QueF	7-dG	Accessory
TIGR03139	QueF	7-dG	Accessory
PF13522	Gat	7-dG	Accessory
NF040592	ArcS2	7-dG	Accessory
PF00303	thyA	5(hm)Y	Marker 
NF002499	thyA	5(hm)Y	Marker
PF09198	BGT	5(hm)Y	Accessory
PF11440	AGT	5(hm)Y	Accessory
PF00201	GT-family	5(hm)Y	Accessory
PF00535	GT-family-2	5(hm)Y	Accessory
PF00383	DCTD	dU	Accessory
PF18880	UGI	dU	Marker
PF25680	Mom	Mom	Marker
PF12851	TET/JBP	5(hm)Y	Marker